"Name","S.B","H.B","B.D","T.B","Pf","XB","E","X50"
"En1",1.24,1.33,27.27,0.78,0.48,0.58,60,0.37
"En2",1.24,1.33,27.27,0.78,0.48,0.58,60,0.37
"En3",1.24,1.33,27.27,0.78,0.48,1.08,60,0.33
"En4",1.24,1.33,27.27,0.78,0.48,1.11,60,0.42
"En5",1.24,1.33,27.27,0.78,0.48,1.08,60,0.46
"En6",1.24,1.33,27.27,1.17,0.27,1.08,60,0.37
"En7",1.24,1.33,27.27,1.06,0.33,1.08,60,0.64
"En8",1.24,1.33,27.27,0.91,0.41,1.11,60,0.42
"En9",1.24,1.33,27.27,0.91,0.41,1.11,60,0.26
"En10",1.24,1.33,27.27,0.99,0.36,1.08,60,0.42
"En11",1.24,1.33,27.27,1.06,0.33,1.11,60,0.31
"En12",1.24,1.33,27.27,1.06,0.33,1.11,60,0.38
"Rc1",1.17,1.5,26.2,1.08,0.33,0.68,45,0.46
"Rc2",1.17,1.5,26.2,1.12,0.3,0.68,45,0.48
"Rc3",1.17,1.58,26.2,1.22,0.28,0.68,45,0.48
"Rc4",1.17,1.96,26.2,1.3,0.34,1.56,45,0.75
"Rc5",1.17,1.75,26.2,1.31,0.29,1.56,45,0.96
"Rc6",1.17,1.75,26.2,1.16,0.36,1.56,45,0.76
"Rc7",1.17,1.67,26.2,1.22,0.31,1.8,45,0.53
"Rc8",1.17,1.83,26.2,1.34,0.3,1.8,45,0.56
"Rc9",1.17,1.83,26.2,1.29,0.32,1.8,45,0.74
"Rc10",1.17,1.83,26.2,1.23,0.35,1.8,45,0.44
"Mg1",1,2.67,27.27,0.89,0.75,0.83,50,0.23
"Mg2",1,2.67,27.27,0.89,0.75,0.78,50,0.25
"Mg3",1,2.4,30.3,0.8,0.61,1.02,50,0.27
"Mg4",1,2.4,30.3,0.8,0.61,0.75,50,0.3
"Mg5",1.1,2.4,30.3,0.8,0.55,1.18,50,0.38
"Mg6",1.1,2.4,30.3,0.8,0.55,1.24,50,0.37
"Mg7",1.1,2.4,30.3,0.8,0.55,1.33,50,0.38
"Ru1",1.13,5,39.47,1.93,0.31,2,45,0.64
"Ru2",1.2,6,32.89,3.67,0.3,2,45,0.54
"Ru3",1.2,6,32.89,3.7,0.3,2,45,0.51
"Ru4",1.2,6,32.89,4.67,0.22,2,45,0.64
"Ru5",1.2,6,32.89,3.11,0.35,2,45,0.54
"Ru6",1.2,6,32.89,3.22,0.34,2,45,0.69
"En13",1.24,1.33,27.27,0.78,0.48,1.11,60,0.47
"Ru7",1.13,5,39.47,3.11,0.31,2,45,0.64
"Mg8",1.1,2.4,30.3,0.8,0.55,1.23,50,0.44
"Mg9",1,2.67,27.27,0.89,0.75,0.77,50,0.25
